iso3,location,code_id,lat,lon,people,accuracy,hazard
USA,Phyllis,6,37.443,-82.336,27,ADM3,Storm
USA,Middleton,6,35.065,-88.891,27,ADM3,Storm
PER,Ahuayro,7,-13.496,-73.808,27,ADM3,Wildfire
PER,Agua Blanca,6,-6.725,-76.695,27,ADM3,Storm
LKA,Palmadullagama,6,6.623,80.554,27,ADM3,Erosion
PER,Acos Vinchos,6,-13.12,-74.068,27,ADM3,Flood
IDN,Bondowoso,6,-7.913,113.822,27,ADM2,Flood
USA,Flatgap,6,37.934,-82.887,27,ADM3,Storm
PER,Socota,6,-6.288,-78.718,27,ADM3,Flood
ARG,Rosario del Tala,6,-32.3,-59.135,27,ADM3,Flood
BOL,Municipio Shinahota,6,-17.044,-65.325,27,ADM3,Flood
BRA,Boa Nova,6,-14.36,-40.23,27,ADM2,Storm
IDN,Tanjung Redeb,6,2.154,117.497,27,ADM2,Flood
PER,Bellavista,6,-4.89,-80.676,27,ADM3,Flood
UKR,Dniprovskyi district,1,50.456,30.584,27,?,
BDI,Busenyi,6,-2.65,30.091,27,ADM3,Storm
PER,Mañazo,6,-15.801,-70.343,27,ADM3,Flood
PER,Papaplaya,6,-6.209,-75.782,27,ADM3,Flood
USA,Los Indios,6,26.049,-97.745,27,ADM3,Flood
BDI,Kiremba,6,-2.88,30.283,26,ADM3,Storm
USA,Whick,6,37.422,-83.376,26,ADM3,Storm
BDI,Nyabwayi,6,-3.634,29.364,26,ADM3,Storm
BDI,Mwakiro,6,-3.09,30.312,26,ADM2,Hailstorm
FRA,Sigean,7,43.035,2.988,26,ADM3,Wildfire
NGA,Betso,1,10.468,13.284,26,ADM3,
PHL,Sara,6,11.259,123.013,26,ADM3,Tornado
USA,Garland City,6,33.358,-93.711,26,ADM3,Flood
GRC,Leptopoda,7,38.572,25.95,26,ADM3,Wildfire
USA,Clay City,6,37.859,-83.919,26,ADM3,Storm
BOL,Municipio Toro Toro,7,-18.204,-65.717,26,ADM3,Wildfire
UGA,Bundibugyo,6,0.649,30.042,26,ADM2,Landslide/Wet mass movement
ECU,Santa Elena Province,6,-2.088,-80.519,26,ADM1,Flood
NGA,Kekeno,1,12.767,13.7,26,ADM3,
MDG,Amoron'i Mania,6,-20.459,46.726,26,ADM1,Flood
NGA,Zowo,1,12.692,12.825,26,ADM3,
GRC,Azoghires,7,35.272,23.719,26,ADM3,Wildfire
NGA,Magarta / Sheffri,1,11.87,14.17,26,ADM3,
BRA,Panambi,6,-28.311,-53.554,26,ADM2,Flood
USA,Turrell,6,35.377,-90.257,26,ADM3,Flood
USA,Varney,6,37.639,-82.424,26,ADM3,Storm
BOL,Municipio Icla,6,-19.471,-64.736,26,ADM3,Flood
BRA,Galiléia,6,-18.869,-41.525,26,ADM2,Storm
USA,Hustonville,6,37.476,-84.815,26,ADM3,Storm
BOL,Municipio Ayata,6,-15.353,-68.755,26,ADM3,Flood
BRA,Serro,6,-18.52,-43.381,26,ADM2,Storm
BDI,Warubondo Market,6,-3.283,29.248,26,ADM3,Flood
BRA,Santa Terezinha de Goiás,6,-14.31,-49.714,26,ADM2,Storm
ECU,Cangagua,6,-0.268,-78.53,26,?,Storm
PER,Palcazu,6,-10.227,-75.282,26,ADM3,Storm
GTM,San José,6,13.994,-90.888,26,ADM2,Flood
PER,San Luis,6,-9.094,-77.329,26,ADM3,Flood
USA,Signal Hill,7,33.805,-118.168,26,ADM3,Wildfire
ZMB,Chongwe,6,-15.327,28.681,25,ADM3,Flood
BRA,Palmeirais,6,-5.785,-43.024,25,ADM2,Drought
BRA,Osasco,6,-23.526,-46.788,25,ADM2,Flood
NGA,Kungurki,2,12.597,6.497,25,ADM3,
ESP,Buñol,7,39.419,-0.791,25,ADM3,Wildfire
BRA,Paraopeba,6,-19.272,-44.453,25,ADM2,Storm
IDN,Depok,6,-6.407,106.814,25,ADM2,Storm
MEX,Asientos,6,22.132,-102.095,25,ADM3,Flood
BRA,Salvador do Sul,6,-29.48,-51.514,25,ADM2,Storm
MEX,Tijuana,6,32.501,-116.965,25,ADM3,Flood
MMR,Kayan,6,16.877,96.583,25,ADM3,Tornado
ESP,El Cardoso de la Sierra,7,41.116,-3.427,25,ADM3,Wildfire
BDI,Buhindo,6,-2.83,29.199,25,ADM3,Flood
PER,Chaupimarca,6,-10.698,-76.25,25,ADM3,Mixed disasters
PER,Mariano Dámaso Beraún,6,-9.395,-76.025,25,ADM3,Dry mass movement
PSE,Tulkarm Camp,1,32.314,35.035,25,ADM3,
GTM,Granados,6,14.939,-90.575,25,ADM2,Landslide/Wet mass movement
BRA,Miraselva,6,-22.977,-51.47,25,ADM2,Hailstorm
CRI,Casitas,6,10.125,-85.432,25,ADM3,Flood
BRA,Manicoré,6,-7.066,-61.557,25,ADM2,Flood
UKR,Kurtivka,1,48.612,37.624,25,ADM3,
BRA,Santa Fé,6,-23.042,-51.808,25,ADM2,Storm
BRA,Santa Vitória do Palmar,6,-33.243,-53.223,25,ADM2,Storm
COL,Tame,6,6.398,-71.784,25,ADM2,Flood
IDN,Nanga Bulik,6,-2.183,111.433,25,ADM2,Flood
COL,Toledo,6,7.232,-72.311,25,ADM2,Landslide/Wet mass movement
CRI,Pital,6,10.603,-84.237,25,ADM3,Flood
BRA,Assis,6,-22.587,-50.428,25,ADM2,Storm
USA,Kwethluk,6,60.81,-161.425,25,ADM3,Flood
HRV,Pisak,7,43.4,16.862,25,ADM3,Wildfire
BDI,Cankuzo,0,-3.145,30.59,25,ADM1,
BRA,Delfinópolis,6,-20.342,-46.84,25,ADM2,Storm
CRI,Cantón Carrillo,6,10.482,-85.651,25,ADM2,Flood
BRA,Maripá de Minas,6,-21.701,-42.959,25,ADM2,Storm
BDI,Monge,6,-2.596,30.007,25,ADM3,Hailstorm
USA,Shorewood,6,43.089,-87.888,25,ADM3,Flood
