iso3,conflict,dyad,a,b,code,deaths,events,first,last,adm1s
LBR,"NPFL, ULIMO - K - AFL, LPC, ULIMO - J","NPFL, ULIMO - K - AFL, LPC, ULIMO - J","NPFL, ULIMO - K","AFL, LPC, ULIMO - J",2,2000,16,1996,1996,1
LBR,ULIMO - K - Civilians,ULIMO - K - Civilians,ULIMO - K,Civilians,5,1403,33,1994,1996,4
LBY,Libya: Government,Government of Libya - NTC,Government of Libya,NTC,1,3049,187,2011,2011,12
LBY,Libya: Government,Government of Libya - Forces of the House of Representatives,Government of Libya,Forces of the House of Representatives,1,2726,327,2014,2023,15
LBY,Libya: Islamic State,Government of Libya - IS,Government of Libya,IS,1,1982,142,2015,2022,10
LBY,Benghazi Revolutionaries Shura Council - Forces of the House of Representatives,Benghazi Revolutionaries Shura Council - Forces of the House of Representatives,Benghazi Revolutionaries Shura Council,Forces of the House of Representatives,2,1549,144,2014,2018,2
LBY,Libya: Government,Government of Libya - Forces of Muammar Gaddafi,Government of Libya,Forces of Muammar Gaddafi,1,713,41,2011,2011,4
LBY,Forces of the House of Representatives - IS,Forces of the House of Representatives - IS,Forces of the House of Representatives,IS,2,643,92,2015,2022,10
LKA,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Government of Sri Lanka,LTTE,1,60697,4007,1989,2009,9
LKA,LTTE - Civilians,LTTE - Civilians,LTTE,Civilians,5,2482,244,1989,2009,9
LKA,Government of Sri Lanka - Civilians,Government of Sri Lanka - Civilians,Government of Sri Lanka,Civilians,4,756,56,1989,2017,9
LKA,Sri Lanka (Ceylon): Government,Government of Sri Lanka - JVP,Government of Sri Lanka,JVP,1,449,118,1989,1990,8
LKA,JVP - Civilians,JVP - Civilians,JVP,Civilians,5,257,57,1989,1990,6
LKA,IS - Civilians,IS - Civilians,IS,Civilians,5,255,4,2019,2019,2
LSO,Lesotho: Government,Government of Lesotho - Military faction (Lesotho),Government of Lesotho,Military faction (Lesotho),1,78,5,1998,1998,2
MAR,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),Government of Morocco - POLISARIO,Government of Morocco,POLISARIO,1,267,26,1989,2025,6
MAR,Salafia Jihadia - Civilians,Salafia Jihadia - Civilians,Salafia Jihadia,Civilians,5,34,2,2003,2003,1
MDA,Moldova: Dniestr,Government of Moldova - PMR,Government of Moldova,PMR,1,585,77,1992,1992,5
MDG,Supporters of Andry Rajoelina - Supporters of Marc Ravalomanana,Supporters of Andry Rajoelina - Supporters of Marc Ravalomanana,Supporters of Andry Rajoelina,Supporters of Marc Ravalomanana,2,82,6,2009,2009,3
MDG,Supporters of Didier Ratsiraka - Supporters of Marc Ravalomanana,Supporters of Didier Ratsiraka - Supporters of Marc Ravalomanana,Supporters of Didier Ratsiraka,Supporters of Marc Ravalomanana,2,79,32,2002,2002,5
MDG,Government of Madagascar - Civilians,Government of Madagascar - Civilians,Government of Madagascar,Civilians,4,73,9,2009,2020,6
MEX,Jalisco Cartel New Generation - Sinaloa Cartel,Jalisco Cartel New Generation - Sinaloa Cartel,Jalisco Cartel New Generation,Sinaloa Cartel,2,30566,4485,2015,2025,19
MEX,Juarez Cartel - Sinaloa Cartel,Juarez Cartel - Sinaloa Cartel,Juarez Cartel,Sinaloa Cartel,2,29442,4934,2004,2025,10
MEX,Jalisco Cartel New Generation - Santa Rosa de Lima Cartel,Jalisco Cartel New Generation - Santa Rosa de Lima Cartel,Jalisco Cartel New Generation,Santa Rosa de Lima Cartel,2,19752,3516,2002,2025,5
MEX,Jalisco Cartel New Generation - Los Zetas,Jalisco Cartel New Generation - Los Zetas,Jalisco Cartel New Generation,Los Zetas,2,8145,655,2011,2022,13
MEX,Gulf Cartel - Los Zetas,Gulf Cartel - Los Zetas,Gulf Cartel,Los Zetas,2,6916,613,2010,2021,13
MEX,Beltrán Leyva Cartel - Sinaloa Cartel,Beltrán Leyva Cartel - Sinaloa Cartel,Beltrán Leyva Cartel,Sinaloa Cartel,2,6181,301,2008,2021,8
MKD,North Macedonia: Government,Government of North Macedonia - UCK,Government of North Macedonia,UCK,1,75,54,2000,2001,9
MLI,Mali: Government,Government of Mali - JNIM,Government of Mali,JNIM,1,6052,1239,2017,2025,11
MLI,Government of Mali - Civilians,Government of Mali - Civilians,Government of Mali,Civilians,4,1666,191,1990,2025,9
MLI,IS - Civilians,IS - Civilians,IS,Civilians,5,1397,137,2017,2025,4
MLI,Mali: Islamic State,Government of Mali - IS,Government of Mali,IS,1,1342,230,2017,2025,5
MLI,JNIM - Civilians,JNIM - Civilians,JNIM,Civilians,5,1155,193,2017,2025,10
MLI,IS - JNIM,IS - JNIM,IS,JNIM,2,937,74,2020,2025,6
MMR,Government of Myanmar (Burma) - Civilians,Government of Myanmar (Burma) - Civilians,Government of Myanmar (Burma),Civilians,4,8557,2376,1989,2025,20
MMR,Myanmar (Burma): Government,Government of Myanmar (Burma) - NUG,Government of Myanmar (Burma),NUG,1,5415,3350,2021,2025,15
MMR,Myanmar (Burma): Karen,Government of Myanmar (Burma) - KNU,Government of Myanmar (Burma),KNU,1,5338,853,1989,2025,14
MMR,Myanmar (Burma): Kachin,Government of Myanmar (Burma) - KIO,Government of Myanmar (Burma),KIO,1,2894,651,1989,2025,4
MMR,Myanmar (Burma): Arakan,Government of Myanmar (Burma) - ULA,Government of Myanmar (Burma),ULA,1,1707,499,2015,2025,7
MMR,MTA - UWSA,MTA - UWSA,MTA,UWSA,2,1631,9,1990,1995,1
MOZ,Mozambique: Government,Government of Mozambique - Renamo,Government of Mozambique,Renamo,1,4964,242,1989,2023,11
MOZ,Mozambique: Islamic State,Government of Mozambique - IS,Government of Mozambique,IS,1,2950,497,2019,2025,3
MOZ,IS - Civilians,IS - Civilians,IS,Civilians,5,2347,540,2019,2025,3
MOZ,Renamo - Civilians,Renamo - Civilians,Renamo,Civilians,5,1465,121,1989,2022,10
MOZ,Government of Mozambique - Civilians,Government of Mozambique - Civilians,Government of Mozambique,Civilians,4,552,195,1993,2025,11
MOZ,ASWJ - Civilians,ASWJ - Civilians,ASWJ,Civilians,5,288,72,2017,2019,1
MRT,Mauritanian - Senegalese,Mauritanian - Senegalese,Mauritanian,Senegalese,2,102,5,1989,1989,2
MRT,Government of Mauritania - Civilians,Government of Mauritania - Civilians,Government of Mauritania,Civilians,4,58,21,1989,2020,6
MRT,Mauritania: Government,Government of Mauritania - AQIM,Government of Mauritania,AQIM,1,31,9,2008,2023,6
MYS,Malaysia: Sabah,Government of Malaysia - Sultanate of Sulu,Government of Malaysia,Sultanate of Sulu,1,70,13,2013,2013,1
NAM,Angola: Government,Government of Angola - UNITA,Government of Angola,UNITA,1,55,8,1999,2000,2
NER,Niger: Islamic State,Government of Niger - IS,Government of Niger,IS,1,3513,307,2015,2025,6
NER,IS - Civilians,IS - Civilians,IS,Civilians,5,1761,215,2015,2025,4
NER,Niger: Government,Government of Niger - JNIM,Government of Niger,JNIM,1,907,89,2017,2025,5
NER,Government of Niger - Civilians,Government of Niger - Civilians,Government of Niger,Civilians,4,552,35,1990,2025,7
NER,Nigeria: Government,Government of Nigeria - JAS,Government of Nigeria,JAS,1,356,30,2015,2025,1
NER,Government of Libya - Civilians,Government of Libya - Civilians,Government of Libya,Civilians,4,170,1,1989,1989,1
NGA,Nigeria: Islamic State,Government of Nigeria - IS,Government of Nigeria,IS,1,15593,2096,2015,2025,13
NGA,Nigeria: Government,Government of Nigeria - JAS,Government of Nigeria,JAS,1,13202,1227,2009,2025,16
NGA,JAS - Civilians,JAS - Civilians,JAS,Civilians,5,9891,894,2009,2025,13
NGA,Christians (Nigeria) - Muslims (Nigeria),Christians (Nigeria) - Muslims (Nigeria),Christians (Nigeria),Muslims (Nigeria),2,5750,184,1991,2022,20
NGA,IS - Civilians,IS - Civilians,IS,Civilians,5,4262,460,2015,2025,14
NGA,Government of Nigeria - Civilians,Government of Nigeria - Civilians,Government of Nigeria,Civilians,4,4151,374,1990,2025,35
NIC,Nicaragua: Government,Government of Nicaragua - Contras,Government of Nicaragua,Contras,1,565,27,1989,1990,7
NPL,Nepal: Government,Government of Nepal - CPN-M,Government of Nepal,CPN-M,1,9924,3701,1996,2009,14
NPL,CPN-M - Civilians,CPN-M - Civilians,CPN-M,Civilians,5,1227,1122,1996,2007,14
NPL,Government of Nepal - Civilians,Government of Nepal - Civilians,Government of Nepal,Civilians,4,1174,827,1990,2025,16
NPL,CPN-M - MJF,CPN-M - MJF,CPN-M,MJF,2,30,4,2007,2007,3
PAK,Pakistan: Government,Government of Pakistan - TTP,Government of Pakistan,TTP,1,32406,5053,2007,2025,8
PAK,TTP - Civilians,TTP - Civilians,TTP,Civilians,5,2542,531,2007,2025,7
PAK,United States of America: Government,Government of United States of America - al-Qaida,Government of United States of America,al-Qaida,1,2259,476,2001,2018,6
PAK,Pakistan: Balochistan,Government of Pakistan - BRAS,Government of Pakistan,BRAS,1,1384,809,2019,2025,4
PAK,Pakistan: Government,Government of Pakistan - Lashkar-e-Islam,Government of Pakistan,Lashkar-e-Islam,1,987,124,2008,2015,3
PAK,LeJ - Civilians,LeJ - Civilians,LeJ,Civilians,5,984,67,1996,2023,6
PAN,Panama - United States of America,Government of Panama - Government of United States of America,Government of Panama,Government of United States of America,1,843,2,1989,1989,1
PAN,Panama: Government,Government of Panama - Military faction (forces of Moisés Giroldi),Government of Panama,Military faction (forces of Moisés Giroldi),1,77,1,1989,1989,1
PER,Peru: Government,Government of Peru - Sendero Luminoso,Government of Peru,Sendero Luminoso,1,6353,598,1989,2023,28
PER,Sendero Luminoso - Civilians,Sendero Luminoso - Civilians,Sendero Luminoso,Civilians,5,681,188,1989,2011,17
PER,Peru: Government,Government of Peru - MRTA,Government of Peru,MRTA,1,486,40,1989,1997,9
PER,Government of Peru - Civilians,Government of Peru - Civilians,Government of Peru,Civilians,4,142,36,1989,2022,15
PER,Ecuador - Peru,Government of Ecuador - Government of Peru,Government of Ecuador,Government of Peru,1,88,22,1995,1995,1
PER,MRTA - Sendero Luminoso,MRTA - Sendero Luminoso,MRTA,Sendero Luminoso,2,67,5,1989,1991,1
PHL,Philippines: Government,Government of Philippines - CPP,Government of Philippines,CPP,1,9133,2187,1989,2025,78
PHL,Philippines: Mindanao,Government of Philippines - MILF,Government of Philippines,MILF,1,3597,412,1990,2025,16
PHL,Philippines: Mindanao,Government of Philippines - ASG,Government of Philippines,ASG,1,3430,641,1993,2023,14
PHL,Philippines: Islamic State,Government of Philippines - IS,Government of Philippines,IS,1,2182,343,2016,2025,16
PHL,Philippines: Mindanao,Government of Philippines - MNLF - NM,Government of Philippines,MNLF - NM,1,492,46,2001,2013,3
PHL,Philippines: Mindanao,Government of Philippines - BIFM,Government of Philippines,BIFM,1,484,95,2012,2016,4
PNG,Papua New Guinea: Bougainville,Government of Papua New Guinea - BRA,Government of Papua New Guinea,BRA,1,297,77,1989,1997,1
PNG,"Ambulin, Lungupin, Nenei, Sau, Sau Walep, Yandamau, Yopo - Kaekin, Lanzerakin, Lyona, Mupapalu, Murap, Palinau, Sakaikin, Sikin, Wapukin","Ambulin, Lungupin, Nenei, Sau, Sau Walep, Yandamau, Yopo - Kaekin, Lanzerakin, Lyona, Mupapalu, Murap, Palinau, Sakaikin, Sikin, Wapukin","Ambulin, Lungupin, Nenei, Sau, Sau Walep, Yandamau, Yopo","Kaekin, Lanzerakin, Lyona, Mupapalu, Murap, Palinau, Sakaikin, Sikin, Wapukin",2,156,6,2021,2024,1
PNG,Government of Papua New Guinea - Civilians,Government of Papua New Guinea - Civilians,Government of Papua New Guinea,Civilians,4,99,29,1989,2024,7
PNG,Aiyala - Nomali,Aiyala - Nomali,Aiyala,Nomali,2,71,6,2022,2022,1
PNG,Akibu - Tonakau,Akibu - Tonakau,Akibu,Tonakau,2,70,3,1999,2000,1
PNG,Akul - Kambrip,Akul - Kambrip,Akul,Kambrip,2,57,4,2012,2012,1
PRY,Paraguay: Government,Government of Paraguay - Military faction (forces of Andres Rodriguez),Government of Paraguay,Military faction (forces of Andres Rodriguez),1,150,1,1989,1989,1
ROU,Government of Romania - Civilians,Government of Romania - Civilians,Government of Romania,Civilians,4,199,6,1989,1989,3
ROU,Romania: Government,Government of Romania - NSF,Government of Romania,NSF,1,196,5,1989,1989,3
ROU,Romania: Government,Government of Romania - Military faction (forces of Nicolae Ceausescu),Government of Romania,Military faction (forces of Nicolae Ceausescu),1,53,5,1989,1989,4
RUS,Russia (Soviet Union): Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,18198,1805,1994,2023,11
RUS,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,1,14941,1310,2022,2025,22
RUS,Russia (Soviet Union): Caucasus Emirate,Government of Russia (Soviet Union) - Forces of the Caucasus Emirate,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2954,1476,2007,2018,15
RUS,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,4,2401,176,1989,2025,14
RUS,Russia: Islamic State,Government of Russia (Soviet Union) - IS,Government of Russia (Soviet Union),IS,1,338,138,2015,2025,21
RUS,Chechen Republic of Ichkeria - Civilians,Chechen Republic of Ichkeria - Civilians,Chechen Republic of Ichkeria,Civilians,5,276,48,1995,2007,6
